[2024-11-18 14:46:39] Page Not Found | Type: 404 | URL: /jomvc/data | IP: ::1 | Referer: Direct Access | Details: null
[2024-11-18 14:47:04] Page Not Found | Type: 404 | URL: /jomvc/home/show | IP: ::1 | Referer: Direct Access | Details: null
[2024-11-18 14:53:01] Page Not Found | Type: 404 | URL: /jomvc/home/users | IP: ::1 | Referer: Direct Access | Details: null
[2024-11-18 14:55:04] Page Not Found | Type: 404 | URL: /jomvc/home/users | IP: ::1 | Referer: Direct Access | Details: null
[2024-11-18 14:55:05] Page Not Found | Type: 404 | URL: /jomvc/home/users | IP: ::1 | Referer: Direct Access | Details: null
[2024-11-18 14:55:22] Page Not Found | Type: 404 | URL: /jomvc/home/users | IP: ::1 | Referer: Direct Access | Details: null
[2024-11-18 14:56:11] Page Not Found | Type: 404 | URL: /jomvc/data | IP: ::1 | Referer: Direct Access | Details: null
[2024-11-18 15:36:26] Internal Server Error: ບໍ່ສາມາດເຊື່ອມຕໍ່ກັບຖານຂໍ້ມູນໄດ້ | Type: 500 | Code: 1045 | URL: /jomvc/ | IP: ::1 | Details: {"error_type":"connection_error","sql_state":"HY000","driver_code":1045,"driver_message":"Access denied for user 'your_username'@'localhost' (using password: YES)","context":[],"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Database.php(15): PDO->__construct('mysql:host=loca...', 'your_username', 'your_password')\n#1 C:\\wamp64\\www\\jomvc\\core\\Database.php(27): Database->__construct()\n#2 C:\\wamp64\\www\\jomvc\\controllers\\HomeController.php(6): Database::getInstance()\n#3 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): HomeController->index(NULL)\n#4 C:\\wamp64\\www\\jomvc\\index.php(27): Router->RouterProvider()\n#5 {main}","file":"C:\\wamp64\\www\\jomvc\\core\\Database.php","line":15}
[2024-11-18 21:39:48] Forbidden: ກະລຸນາເຂົ້າສູ່ລະບົບກ່ອນ | Type: 403 | Code:  | URL: /jomvc/ | IP: ::1 | Details: null
[2024-11-18 21:41:36] Page Not Found: Controller not found: JomvcController | Type: 404 | Code:  | URL: /jomvc/jomvc/login | IP: ::1 | Details: null
[2024-11-18 21:41:48] Page Not Found: Controller not found: JomvcController | Type: 404 | Code:  | URL: /jomvc/jomvc/login | IP: ::1 | Details: null
[2024-11-18 21:41:53] Page Not Found: Controller not found: JomvcController | Type: 404 | Code:  | URL: /jomvc/jomvc/ | IP: ::1 | Details: null
[2024-11-18 21:42:02] Page Not Found: Controller not found: JomvcController | Type: 404 | Code:  | URL: /jomvc/jomvc/ | IP: ::1 | Details: null
[2024-11-18 21:42:03] Page Not Found: Controller not found: JomvcController | Type: 404 | Code:  | URL: /jomvc/jomvc/ | IP: ::1 | Details: null
[2024-11-18 21:42:11] Page Not Found: Controller not found: JomvcController | Type: 404 | Code:  | URL: /jomvc/jomvc/ | IP: ::1 | Details: null
[2024-11-18 21:42:26] Page Not Found: Controller not found: LoginController | Type: 404 | Code:  | URL: /jomvc/login | IP: ::1 | Details: null
[2024-11-18 21:44:00] Page Not Found: Controller not found: JomvcController | Type: 404 | Code:  | URL: /jomvc/jomvc/ | IP: ::1 | Details: null
[2024-11-18 21:44:01] Page Not Found: Controller not found: JomvcController | Type: 404 | Code:  | URL: /jomvc/jomvc/ | IP: ::1 | Details: null
[2024-11-18 22:15:57] Page Not Found: Controller not found: ImagesController | Type: 404 | Code:  | URL: /jomvc/images/logo.png | IP: ::1 | Details: null
[2024-11-18 22:22:50] Page Not Found: Controller not found: AuthController | Type: 404 | Code:  | URL: /jomvc/auth/login | IP: ::1 | Details: null
[2024-11-18 22:25:05] Page Not Found: Method login not found in controller AuthController | Type: 404 | Code:  | URL: /jomvc/auth/login | IP: ::1 | Details: null
[2024-11-18 22:39:56] Internal Server Error: View file not found: views/auth1/index.php | Type: 500 | Code:  | URL: /jomvc/auth/ | IP: ::1 | Details: {"file":"C:\\wamp64\\www\\jomvc\\core\\Controller.php","line":54,"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Controller.php(26): Controller->findViewFile('auth1\/index')\n#1 C:\\wamp64\\www\\jomvc\\controllers\\AuthController.php(6): Controller->render('auth1\/index', Array, 'simple')\n#2 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): AuthController->index(NULL)\n#3 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#4 {main}"}
[2024-11-18 22:39:57] Internal Server Error: View file not found: views/auth1/index.php | Type: 500 | Code:  | URL: /jomvc/auth/ | IP: ::1 | Details: {"file":"C:\\wamp64\\www\\jomvc\\core\\Controller.php","line":54,"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Controller.php(26): Controller->findViewFile('auth1\/index')\n#1 C:\\wamp64\\www\\jomvc\\controllers\\AuthController.php(6): Controller->render('auth1\/index', Array, 'simple')\n#2 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): AuthController->index(NULL)\n#3 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#4 {main}"}
[2024-11-18 22:40:12] Internal Server Error: View55 file not found: views/auth1/index.php | Type: 500 | Code:  | URL: /jomvc/auth/ | IP: ::1 | Details: {"file":"C:\\wamp64\\www\\jomvc\\core\\Controller.php","line":54,"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Controller.php(26): Controller->findViewFile('auth1\/index')\n#1 C:\\wamp64\\www\\jomvc\\controllers\\AuthController.php(6): Controller->render('auth1\/index', Array, 'simple')\n#2 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): AuthController->index(NULL)\n#3 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#4 {main}"}
[2024-11-18 22:40:18] Internal Server Error: View file not found: views/auth1/index.php | Type: 500 | Code:  | URL: /jomvc/auth/ | IP: ::1 | Details: {"file":"C:\\wamp64\\www\\jomvc\\core\\Controller.php","line":54,"trace":"#0 C:\\wamp64\\www\\jomvc\\core\\Controller.php(26): Controller->findViewFile('auth1\/index')\n#1 C:\\wamp64\\www\\jomvc\\controllers\\AuthController.php(6): Controller->render('auth1\/index', Array, 'simple')\n#2 C:\\wamp64\\www\\jomvc\\core\\Router.php(35): AuthController->index(NULL)\n#3 C:\\wamp64\\www\\jomvc\\index.php(34): Router->RouterProvider()\n#4 {main}"}
